i,player_name,player_id,avg_rank
39,Roger Federer,103819,1.0
42,Rafael Nadal,104745,2.499831
46,Novak Djokovic,104925,2.500169
22,Pete Sampras,101948,4.0
14,Ivan Lendl,100656,5.0
4,Jimmy Connors,100284,6.0
18,Stefan Edberg,101222,7.499217
12,John McEnroe,100581,7.500783
19,Andre Agassi,101736,9.0
16,Boris Becker,101414,10.0
47,Andy Murray,104918,11.499929
7,Bjorn Borg,100437,11.500071
36,Lleyton Hewitt,103720,13.0
15,Mats Wilander,101062,14.0
40,Andy Roddick,104053,15.499757
21,Jim Courier,101793,15.500243
33,Gustavo Kuerten,102856,17.499766
56,Daniil Medvedev,106421,17.500234
35,Marat Safin,103498,19.499949
25,Thomas Muster,101404,19.500051
27,Yevgeny Kafelnikov,102338,21.0
37,Juan Carlos Ferrero,103507,22.0
26,Michael Chang,102021,23.0
9,Guillermo Vilas,100282,24.0
58,Carlos Alcaraz,207989,25.499982
51,Alexander Zverev,100644,25.500018
28,Patrick Rafter,102158,27.0
20,Michael Stich,101529,28.0
49,Stan Wawrinka,104527,29.0
30,Marcelo Rios,102701,30.0
23,Goran Ivanisevic,101964,31.0
29,Petr Korda,101434,32.0
55,Dominic Thiem,106233,33.499463
38,Tommy Haas,103163,33.500537
57,Stefanos Tsitsipas,126774,35.500826
43,David Nalbandian,103900,35.748339
3,John Newcombe,100087,37.501825
41,Guillermo Coria,103909,38.124834
48,David Ferrer,103970,38.31127
59,Casper Ruud,134770,40.218947
45,Nikolay Davydenko,103786,41.486032
31,Alex Corretja,102374,42.702426
34,Magnus Norman,102796,42.70261
0,Ilie Nastase,100119,42.702891
44,Ivan Ljubicic,103344,45.0
53,Marin Cilic,105227,46.499826
11,Brian Gottfried,100261,46.874766
50,Milos Raonic,105683,47.750148
52,Grigor Dimitrov,105777,48.87526
32,Carlos Moya,102845,50.0
24,Sergi Bruguera,101843,51.0
6,Rod Laver,100029,52.0
2,Manuel Orantes,100174,53.0
5,Tom Okker,100084,54.0
8,Ken Rosewall,100016,55.500352
13,Vitas Gerulaitis,100342,55.749571
54,Juan Martin del Potro,105223,56.750077
17,Yannick Noah,100676,58.0
1,Stan Smith,100126,59.499853
10,Arthur Ashe,100074,59.500147
