i,player_name,player_id,avg_rank
14,Steffi Graf,200414,1.0
31,Serena Williams,200033,2.499984
0,Martina Navratilova,200293,2.500016
18,Monica Seles,200652,4.500263
45,Maria Sharapova,201345,4.74842
27,Lindsay Davenport,200128,5.751317
17,Arantxa Sanchez Vicario,200017,7.0
30,Venus Williams,200748,8.49983
58,Simona Halep,201594,8.50017
1,Chris Evert,200259,10.998791
28,Martina Hingis,200001,11.250972
36,Kim Clijsters,200079,11.251061
15,Gabriela Sabatini,200572,12.499176
32,Justine Henin,200003,14.0
49,Caroline Wozniacki,201496,15.0
20,Conchita Martinez,200049,16.499488
33,Amelie Mauresmo,200065,16.500512
21,Jana Novotna,200539,18.998956
4,Pam Shriver,200360,19.000318
55,Agnieszka Radwanska,201474,19.000726
42,Svetlana Kuznetsova,201320,21.999046
52,Victoria Azarenka,201458,22.0004
6,Hana Mandlikova,200348,22.000554
62,Karolina Pliskova,201662,24.0
54,Petra Kvitova,201520,25.0
46,Jelena Jankovic,201347,26.999721
71,Ashleigh Barty,202458,26.999736
56,Angelique Kerber,201493,27.000543
23,Mary Pierce,200096,29.0
69,Naomi Osaka,211768,30.500468
75,Aryna Sabalenka,214544,30.749202
35,Jennifer Capriati,200077,31.75033
64,Elina Svitolina,202494,33.0
61,Garbine Muguruza,202469,34.499134
38,Elena Dementieva,200108,34.500866
77,Iga Swiatek,216347,36.0
53,Na Li,201419,37.0
44,Dinara Safina,201336,38.499782
48,Ana Ivanovic,201421,38.500218
43,Vera Zvonareva,201329,40.499273
82,Jessica Pegula,202468,40.500727
26,Iva Majoli,200723,42.500239
81,Ons Jabeur,202460,42.99955
74,Sofia Kenin,213550,44.249464
8,Zina Garrison,200404,44.250747
40,Anastasia Myskina,200772,46.499664
11,Helena Sukova,200377,46.750765
13,Claudia Kohde Kilsch,200354,47.749571
68,Caroline Garcia,201614,49.0
50,Samantha Stosur,201325,50.500095
25,Anke Huber,200081,50.749698
76,Barbora Krejcikova,206252,51.750207
84,Elena Rybakina,214981,53.99826
29,Amanda Coetzer,200064,54.001477
19,Mary Joe Fernandez,200597,54.167634
78,Paula Badosa,211651,56.249067
7,Kathy Jordan,200389,56.583562
10,Manuela Maleeva Fragniere,200401,58.499935
79,Anett Kontaveit,204426,58.749562
63,Dominika Cibulkova,201495,59.750503
80,Maria Sakkari,206289,61.0
34,Nadia Petrova,200069,62.499996
72,Bianca Andreescu,215370,62.500004
83,Coco Gauff,221103,64.499588
12,Gretchen Magers,200503,64.750533
67,Sloane Stephens,201585,65.749879
22,Kimiko Date Krumm,200617,67.49993
51,Francesca Schiavone,201212,67.50007
2,Andrea Jaeger,200381,69.0
37,Nathalie Tauziat,200097,70.0
70,Kiki Bertens,202428,71.0
9,Wendy Turnbull,200209,72.0
39,Jelena Dokic,200120,73.0
57,Sara Errani,201506,74.499416
66,Jelena Ostapenko,211533,74.500584
41,Daniela Hantuchova,201290,76.0
5,Jo Durie,200392,77.0
73,Belinda Bencic,202505,78.499978
60,Lucie Safarova,201425,78.7497
47,Anna Chakvetadze,201403,79.750322
16,Natalia Zvereva,200116,81.0
65,Johanna Konta,202427,82.500897
3,Tracy Austin,200397,82.748634
24,Magdalena Maleeva,200086,84.12555
59,Eugenie Bouchard,202446,84.624919
